dataset,split_type,protocol,seed,train_fraction,comparison,left_model,right_model,metric,n_queries,mean_delta,ci_lower,ci_upper,ci_excludes_zero_positive
movielens_100k,item_cold,global_popularity,0,0.2,tabpfn_native_minus_tabpfn,tabpfn_native,tabpfn,ndcg@10,100,0.03142536062482562,0.004033727324984931,0.06081071352593101,True
movielens_100k,item_cold,global_popularity,0,0.2,best_tabpfn_minus_best_tree,tabpfn_native,catboost,ndcg@10,100,-0.04048886058875996,-0.07226830281911119,-0.008026910083159557,False
movielens_100k,item_cold,global_popularity,1,0.2,tabpfn_native_minus_tabpfn,tabpfn_native,tabpfn,ndcg@10,100,0.061120728566041116,0.03172084998607095,0.09373809830846529,True
movielens_100k,item_cold,global_popularity,1,0.2,best_tabpfn_minus_best_tree,tabpfn_native,catboost,ndcg@10,100,0.033657005341536664,0.002992123420793057,0.06617401067606311,True
movielens_100k,item_cold,global_popularity,2,0.2,tabpfn_native_minus_tabpfn,tabpfn_native,tabpfn,ndcg@10,100,0.01807463934783692,0.003690702464285425,0.03876787376710299,True
movielens_100k,item_cold,global_popularity,2,0.2,best_tabpfn_minus_best_tree,tabpfn_native,catboost,ndcg@10,100,0.06731568092747675,0.03675855366469442,0.10117098252790788,True
movielens_100k,item_cold,global_popularity,0,0.5,tabpfn_native_minus_tabpfn,tabpfn_native,tabpfn,ndcg@10,100,0.004413825076044125,-0.01028869762243495,0.019708330392962083,False
movielens_100k,item_cold,global_popularity,0,0.5,best_tabpfn_minus_best_tree,tabpfn_native,catboost,ndcg@10,100,0.019866127677452657,-0.005957463942407418,0.048891348746398916,False
movielens_100k,item_cold,global_popularity,1,0.5,tabpfn_native_minus_tabpfn,tabpfn_native,tabpfn,ndcg@10,100,0.05701767633132296,0.02751472829245424,0.0899552693190454,True
movielens_100k,item_cold,global_popularity,1,0.5,best_tabpfn_minus_best_tree,tabpfn_native,catboost,ndcg@10,100,0.04361524907629997,0.01237947564600041,0.07740881840885509,True
movielens_100k,item_cold,global_popularity,2,0.5,tabpfn_native_minus_tabpfn,tabpfn_native,tabpfn,ndcg@10,100,0.037928029849895226,0.020004829223695435,0.05994876394924163,True
movielens_100k,item_cold,global_popularity,2,0.5,best_tabpfn_minus_best_tree,tabpfn_native,catboost,ndcg@10,100,-0.0026089750747580287,-0.0221464560740335,0.017287570180490375,False
