phase2_group,dataset,split_type,protocol,mode,model,k,max_train_queries,max_test_queries,train_fraction,feature_set,tabpfn_version,seed_count,ndcg@10_mean,ndcg@10_std,recall@10_mean,recall@10_std,mrr_mean,mrr_std,hitrate@10_mean,hitrate@10_std,runtime_seconds_median,n_queries_median
k_sensitivity,movielens_100k,item_cold,global_popularity,pointwise,catboost,100,100,100,1.0,full,v2.5,3,0.9395014663049684,0.015722347189329317,0.9633333333333333,0.015275252316519468,0.9339146172433042,0.017271018036763407,0.9633333333333333,0.015275252316519468,0.5055348750029225,100.0
k_sensitivity,movielens_100k,item_cold,global_popularity,pointwise,tabpfn,20,100,100,1.0,full,v2.5,3,0.9689657213460978,0.013359553380869072,1.0,0.0,0.9585370370370371,0.018092725273405517,1.0,0.0,22.707510959007777,100.0
k_sensitivity,movielens_100k,item_cold,global_popularity,pointwise,tabpfn,50,100,100,1.0,full,v2.5,3,0.9983333333333334,0.0028867513459480834,1.0,0.0,0.9977777777777778,0.0038490017945974737,1.0,0.0,101.92891520800184,100.0
k_sensitivity,movielens_100k,item_cold,global_popularity,pointwise,tabpfn,100,100,100,1.0,full,v2.5,3,0.99339260853602,0.005722859595991084,1.0,0.0,0.9912222222222221,0.0076036053826336325,1.0,0.0,381.9090675000043,100.0
k_sensitivity,movielens_100k,item_cold,global_popularity,pointwise,tabpfn_native,20,100,100,1.0,full,v2.5,3,0.9852320241788229,0.007502906592226294,1.0,0.0,0.9804166666666666,0.010265570828962381,1.0,0.0,17.827144540991867,100.0
k_sensitivity,movielens_100k,item_cold,global_popularity,pointwise,tabpfn_native,50,100,100,1.0,full,v2.5,3,0.9912835737681087,0.004727446002989141,1.0,0.0,0.9883333333333333,0.006291528696058912,1.0,0.0,77.59707141699619,100.0
k_sensitivity,movielens_100k,item_cold,global_popularity,pointwise,tabpfn_native,100,100,100,1.0,full,v2.5,3,0.9752893484215487,0.022918269521121994,0.9933333333333333,0.0057735026918962545,0.9699419191919191,0.02904461508774653,0.9933333333333333,0.0057735026918962545,273.8072089579946,100.0
k_sensitivity,movielens_100k,warm,context_popularity,pointwise,catboost,20,100,100,1.0,full,v2.5,3,0.5022753684553574,0.0,0.69,0.0,0.4656893990082845,0.0,0.69,0.0,0.2722396670142188,100.0
k_sensitivity,movielens_100k,warm,context_popularity,pointwise,catboost,50,100,100,1.0,full,v2.5,3,0.2634813974833415,0.0,0.34,0.0,0.2654615054473352,0.0,0.34,0.0,0.3471148329845164,100.0
k_sensitivity,movielens_100k,warm,context_popularity,pointwise,catboost,100,100,100,1.0,full,v2.5,3,0.1348558933676693,0.0,0.20000000000000004,0.0,0.1353892554615444,0.0,0.20000000000000004,0.0,0.4956672500120476,100.0
k_sensitivity,movielens_100k,warm,context_popularity,pointwise,tabpfn,20,100,100,1.0,full,v2.5,3,0.5430812311777664,0.0,0.7399999999999999,0.0,0.5000197471946697,0.0,0.7399999999999999,0.0,22.294485792022897,100.0
k_sensitivity,movielens_100k,warm,context_popularity,pointwise,tabpfn,50,100,100,1.0,full,v2.5,3,0.2909545426072504,0.0,0.38999999999999996,0.0,0.2831692452382378,0.0,0.38999999999999996,0.0,101.95067233298325,100.0
k_sensitivity,movielens_100k,warm,context_popularity,pointwise,tabpfn,100,100,100,1.0,full,v2.5,3,0.1653732140834052,0.0,0.26,0.0,0.1588324326816719,0.0,0.26,0.0,387.502396166994,100.0
k_sensitivity,movielens_100k,warm,context_popularity,pointwise,tabpfn_native,20,100,100,1.0,full,v2.5,3,0.5125764990713726,0.0,0.69,0.0,0.4800491242503626,0.0,0.69,0.0,17.83266291601467,100.0
k_sensitivity,movielens_100k,warm,context_popularity,pointwise,tabpfn_native,50,100,100,1.0,full,v2.5,3,0.27092162058601,0.0,0.3499999999999999,0.0,0.2687181849967401,0.0,0.3499999999999999,0.0,77.95895808300702,100.0
k_sensitivity,movielens_100k,warm,context_popularity,pointwise,tabpfn_native,100,100,100,1.0,full,v2.5,3,0.1512175091511875,0.0,0.22,0.0,0.151035319233657,0.0,0.22,0.0,277.8724197499978,100.0
k_sensitivity,movielens_100k,warm,global_popularity,pointwise,catboost,20,100,100,1.0,full,v2.5,3,0.7956387029602121,0.0,0.91,0.0,0.7673384731883184,0.0,0.91,0.0,0.2588787080021575,100.0
k_sensitivity,movielens_100k,warm,global_popularity,pointwise,catboost,50,100,100,1.0,full,v2.5,3,0.6440223141805314,0.0,0.73,0.0,0.6302351682308405,0.0,0.73,0.0,0.3465097079752013,100.0
k_sensitivity,movielens_100k,warm,global_popularity,pointwise,catboost,100,100,100,1.0,full,v2.5,3,0.4679188432348959,0.0,0.53,0.0,0.4597925852333817,0.0,0.53,0.0,0.4618521659867838,100.0
k_sensitivity,movielens_100k,warm,global_popularity,pointwise,tabpfn,20,100,100,1.0,full,v2.5,3,0.8304373968151443,0.0,0.92,0.0,0.8089269105077928,0.0,0.92,0.0,22.2604604169901,100.0
k_sensitivity,movielens_100k,warm,global_popularity,pointwise,tabpfn,50,100,100,1.0,full,v2.5,3,0.7238760534647838,0.0,0.77,0.0,0.7180348189104703,0.0,0.77,0.0,104.15816191700289,100.0
k_sensitivity,movielens_100k,warm,global_popularity,pointwise,tabpfn,100,100,100,1.0,full,v2.5,3,0.504571579640552,0.0,0.56,0.0,0.5005792300122214,0.0,0.56,0.0,387.9744313749834,100.0
k_sensitivity,movielens_100k,warm,global_popularity,pointwise,tabpfn_native,20,100,100,1.0,full,v2.5,3,0.8416049896671464,0.0,0.91,0.0,0.8274407799802538,0.0,0.91,0.0,17.80071675000363,100.0
k_sensitivity,movielens_100k,warm,global_popularity,pointwise,tabpfn_native,50,100,100,1.0,full,v2.5,3,0.7000875984789069,0.0,0.75,0.0,0.694797581857962,0.0,0.75,0.0,77.7331491659861,100.0
k_sensitivity,movielens_100k,warm,global_popularity,pointwise,tabpfn_native,100,100,100,1.0,full,v2.5,3,0.5115094405415523,0.0,0.58,0.0,0.5025059576481307,0.0,0.58,0.0,276.8425324590062,100.0
primary,movielens_100k,item_cold,context_popularity,pointwise,catboost,20,10,100,0.1,full,v2.5,3,0.7226292577729097,0.0876582376040284,0.9,0.034641016151377574,0.6737372065499,0.1050496199452032,0.9,0.034641016151377574,0.222187584004132,100.0
primary,movielens_100k,item_cold,context_popularity,pointwise,catboost,20,20,100,0.2,full,v2.5,3,0.7874505950237051,0.019736584968520935,0.9166666666666666,0.0378593889720018,0.7538964947734296,0.03587089467952798,0.9166666666666666,0.0378593889720018,0.2343580839806236,100.0
primary,movielens_100k,item_cold,context_popularity,pointwise,catboost,20,50,100,0.5,full,v2.5,3,0.7691685528110751,0.0625273005157754,0.8700000000000001,0.06928203230275508,0.7478034802744555,0.05710826856737482,0.8700000000000001,0.06928203230275508,0.2420295829942915,100.0
primary,movielens_100k,item_cold,context_popularity,pointwise,catboost,20,100,100,1.0,full,v2.5,3,0.7741108959066243,0.05558320733993356,0.8966666666666666,0.057735026918962644,0.7440459718586653,0.057236820686285245,0.8966666666666666,0.057735026918962644,0.2706196660001296,100.0
primary,movielens_100k,item_cold,context_popularity,pointwise,tabpfn,20,10,100,0.1,full,v2.5,3,0.7787226285802937,0.10419739819174569,0.9133333333333334,0.05507570547286102,0.7427712383505726,0.12368502753310258,0.9133333333333334,0.05507570547286102,5.0979229169897735,100.0
primary,movielens_100k,item_cold,context_popularity,pointwise,tabpfn,20,20,100,0.2,full,v2.5,3,0.8125058517426331,0.05014070609094077,0.9233333333333333,0.04163331998932264,0.7852361398777807,0.06349173156765027,0.9233333333333333,0.04163331998932264,6.019999583018944,100.0
primary,movielens_100k,item_cold,context_popularity,pointwise,tabpfn,20,50,100,0.5,full,v2.5,3,0.789454119093041,0.05646701144749093,0.9233333333333333,0.05859465277082317,0.754315441767841,0.053621565265593495,0.9233333333333333,0.05859465277082317,10.907909250003286,100.0
primary,movielens_100k,item_cold,context_popularity,pointwise,tabpfn,20,100,100,1.0,full,v2.5,3,0.8285571732400568,0.0739112139626513,0.9533333333333333,0.03214550253664313,0.7930268402621343,0.0838114055824709,0.9533333333333333,0.03214550253664313,22.053950541012455,100.0
primary,movielens_100k,item_cold,context_popularity,pointwise,tabpfn_native,20,10,100,0.1,full,v2.5,3,0.7350082427462526,0.1920368180232088,0.9333333333333332,0.050332229568471665,0.6781222524035991,0.23557794747999383,0.9333333333333332,0.050332229568471665,4.6092594169895165,100.0
primary,movielens_100k,item_cold,context_popularity,pointwise,tabpfn_native,20,20,100,0.2,full,v2.5,3,0.7875381150365128,0.0610205311396489,0.91,0.05291502622129179,0.7546879733756668,0.060493645387983803,0.91,0.05291502622129179,5.66161045798799,100.0
primary,movielens_100k,item_cold,context_popularity,pointwise,tabpfn_native,20,50,100,0.5,full,v2.5,3,0.7662398110598514,0.08024667231671923,0.8533333333333334,0.06806859285554044,0.7510675716469061,0.07848575914252622,0.8533333333333334,0.06806859285554044,9.430116999981692,100.0
