ndcg@10,recall@10,mrr,hitrate@10,n_queries,runtime_seconds,dataset,split_type,protocol,model,mode,status,tabpfn_version,k,max_train_queries,max_test_queries,seed,train_fraction,feature_set,phase2_group,source_path
0.9308205224408514,1.0,0.9083333333333332,1.0,50.0,84.73465304198908,amazon_baby_products,item_cold,context_popularity,tabpfn,pointwise,ok,v2.5,20,50,50,1,1.0,full,amazon_sanity,paper/results_phase2_pointwise_runs/amazon_sanity/seed_001/amazon_baby_products__item_cold__context_popularity__pointwise__tabpfn/amazon_baby_products/item_cold/results.csv
0.99,1.0,0.9866666666666666,1.0,50.0,4.7670432919985615,amazon_baby_products,item_cold,context_popularity,tabpfn_native,pointwise,ok,v2.5,20,50,50,1,1.0,full,amazon_sanity,paper/results_phase2_pointwise_runs/amazon_sanity/seed_001/amazon_baby_products__item_cold__context_popularity__pointwise__tabpfn_native/amazon_baby_products/item_cold/results.csv
0.550411287029435,0.84,0.4752206661587467,0.84,50.0,0.1921372080105357,amazon_baby_products,item_cold,context_popularity,xgboost,pointwise,ok,v2.5,20,50,50,1,1.0,full,amazon_sanity,paper/results_phase2_pointwise_runs/amazon_sanity/seed_001/amazon_baby_products__item_cold__context_popularity__pointwise__xgboost/amazon_baby_products/item_cold/results.csv
1.0,1.0,1.0,1.0,50.0,0.1763199580018408,amazon_baby_products,item_cold,global_popularity,catboost,pointwise,ok,v2.5,20,50,50,1,1.0,full,amazon_sanity,paper/results_phase2_pointwise_runs/amazon_sanity/seed_001/amazon_baby_products__item_cold__global_popularity__pointwise__catboost/amazon_baby_products/item_cold/results.csv
1.0,1.0,1.0,1.0,50.0,19.02339766698424,amazon_baby_products,item_cold,global_popularity,tabpfn,pointwise,ok,v2.5,20,50,50,1,1.0,full,amazon_sanity,paper/results_phase2_pointwise_runs/amazon_sanity/seed_001/amazon_baby_products__item_cold__global_popularity__pointwise__tabpfn/amazon_baby_products/item_cold/results.csv
1.0,1.0,1.0,1.0,50.0,4.832572792016435,amazon_baby_products,item_cold,global_popularity,tabpfn_native,pointwise,ok,v2.5,20,50,50,1,1.0,full,amazon_sanity,paper/results_phase2_pointwise_runs/amazon_sanity/seed_001/amazon_baby_products__item_cold__global_popularity__pointwise__tabpfn_native/amazon_baby_products/item_cold/results.csv
1.0,1.0,1.0,1.0,50.0,0.0665335420053452,amazon_baby_products,item_cold,global_popularity,xgboost,pointwise,ok,v2.5,20,50,50,1,1.0,full,amazon_sanity,paper/results_phase2_pointwise_runs/amazon_sanity/seed_001/amazon_baby_products__item_cold__global_popularity__pointwise__xgboost/amazon_baby_products/item_cold/results.csv
0.4925194039213356,0.72,0.443270634594164,0.72,50.0,0.2198859580093994,amazon_baby_products,warm,context_popularity,catboost,pointwise,ok,v2.5,20,50,50,1,1.0,full,amazon_sanity,paper/results_phase2_pointwise_runs/amazon_sanity/seed_001/amazon_baby_products__warm__context_popularity__pointwise__catboost/amazon_baby_products/warm/results.csv
0.5629516465694235,0.78,0.5119059530940335,0.78,50.0,80.7099589999998,amazon_baby_products,warm,context_popularity,tabpfn,pointwise,ok,v2.5,20,50,50,1,1.0,full,amazon_sanity,paper/results_phase2_pointwise_runs/amazon_sanity/seed_001/amazon_baby_products__warm__context_popularity__pointwise__tabpfn/amazon_baby_products/warm/results.csv
0.5696524427870279,0.82,0.5076382126645285,0.82,50.0,4.6176177909947,amazon_baby_products,warm,context_popularity,tabpfn_native,pointwise,ok,v2.5,20,50,50,1,1.0,full,amazon_sanity,paper/results_phase2_pointwise_runs/amazon_sanity/seed_001/amazon_baby_products__warm__context_popularity__pointwise__tabpfn_native/amazon_baby_products/warm/results.csv
